iter	Passed	Remaining
907	3110	315
908	3113	311
909	3116	308
910	3119	304
911	3122	301
912	3125	297
913	3128	294
914	3132	290
915	3135	287
916	3138	284
917	3141	280
918	3144	277
919	3147	273
920	3151	270
921	3154	266
922	3157	263
923	3160	259
924	3164	256
925	3167	253
926	3170	249
927	3173	246
928	3176	242
929	3180	239
930	3183	235
931	3187	232
932	3190	229
933	3192	225
934	3196	222
935	3200	218
936	3203	215
937	3206	211
938	3209	208
939	3214	205
940	3217	201
941	3220	198
942	3223	194
943	3226	191
944	3230	188
945	3234	184
946	3237	181
947	3240	177
948	3243	174
949	3246	170
950	3250	167
951	3253	164
952	3256	160
953	3259	157
954	3263	153
955	3266	150
956	3269	146
957	3272	143
958	3276	140
959	3279	136
960	3282	133
961	3285	129
962	3288	126
963	3291	122
964	3295	119
965	3298	116
966	3301	112
967	3304	109
968	3308	105
969	3311	102
970	3314	98
971	3317	95
972	3320	92
973	3323	88
974	3326	85
975	3329	81
976	3332	78
977	3336	75
978	3339	71
979	3342	68
980	3346	64
981	3349	61
982	3352	57
983	3355	54
984	3358	51
985	3361	47
986	3364	44
987	3367	40
988	3370	37
989	3374	34
990	3377	30
991	3380	27
992	3383	23
993	3386	20
994	3390	17
995	3394	13
996	3397	10
997	3400	6
998	3404	3
999	3408	0
0
